block,label,selection,crossover,mutation,run,best_fitness,time_s,n_iters
mutation,scramble,linear_rank,pmx,scramble,4,31238,4.553536500000064,1433
mutation,scramble,linear_rank,pmx,scramble,5,29955,7.003523700000187,2229
mutation,scramble,linear_rank,pmx,scramble,6,30065,6.1695598999999675,1968
mutation,scramble,linear_rank,pmx,scramble,7,29995,7.949722599999859,2528
mutation,scramble,linear_rank,pmx,scramble,8,29897,7.39697120000028,2368
mutation,scramble,linear_rank,pmx,scramble,9,31968,5.384955999999875,1711
mutation,sim,linear_rank,pmx,sim,0,33658,7.952614799999992,2532
mutation,sim,linear_rank,pmx,sim,1,33182,15.175806100000045,4892
mutation,sim,linear_rank,pmx,sim,2,32610,7.499642799999947,2391
mutation,sim,linear_rank,pmx,sim,3,32871,6.554623300000003,2100
mutation,sim,linear_rank,pmx,sim,4,32473,11.197210599999835,3525
mutation,sim,linear_rank,pmx,sim,5,32498,12.86282540000002,4153
mutation,sim,linear_rank,pmx,sim,6,36527,2.6200254000000314,838
mutation,sim,linear_rank,pmx,sim,7,32083,5.884602000000086,1879
mutation,sim,linear_rank,pmx,sim,8,32853,7.940949699999692,2546
mutation,sim,linear_rank,pmx,sim,9,32694,5.457090200000039,1748
